worker_id,doc_id,doc_fact_check_ground_truth_label,doc_fact_check_ground_truth_value,sovra,quartile,doc_truthfulness_value,mean,age_ans_index,school_ans_index,taxes_ans_index,political_views_ans_index,consideration_ans_index,southern_border_ans_index,s_info_1_ans_index,s_info_3_v2_ans_index,s_info_4_ans_index,s_info_5_ans_index,s_info_6_ans_index,s_info_7_ans_index,s_com_1_v2_ans_index,s_com_2_ans_index,k_info_1_ans_index,k_info_2_ans_index,k_info_3_ans_index,k_crea_2_ans_index,k_ai_2_ans_index,k_ai_4_ans_index,doc_index,doc_speaker_party,doc_statement_date,numero_parole_frase,numero_parole_significative,percentuale_parole_significative,fre,sentiment,subjectivity,doc_completeness_index,doc_comprehensibility_index,doc_precision_index,doc_informativeness_index,doc_unbiasedness_index,doc_accuracy_index,doc_speaker's-trustworthiness_index,doc_confidence_index,doc_time_elapsed,query_amount_per_doc,response_position,selected_amount_per_doc,sim_statem_query,sim_statem_resname,sim_statem_ressnip
55b645b1fdf99b1c02906872,joni-ernst-target-describing-11th-hour-obama-rule-,mostly-true,4.0,other,other,4.0,3.4,4.0,3.0,8.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,6.0,DEM,3.0,16,12,0.75,12.94,0.0,0.0,,,,,,,,,,3,0,1,0.5538461538461539,0.2,0.6666666666666666
55b645b1fdf99b1c02906872,gop-challenger-overstates-parole-boards-record-und,false,1.0,other,other,1.0,1.4,4.0,3.0,8.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,7.0,DEM,6.0,20,13,0.65,85.02,0.1428571428571428,0.3011904761904762,,,,,,,,,,1,0,1,0.7897435897435897,0.0,0.8461538461538461
55b645b1fdf99b1c02906872,greene-twists-logic-and-facts-pedophilia-charge-ag,pants-on-fire,0.0,pants-on-fire,correct_false,1.0,1.2,4.0,3.0,8.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,REP,4.0,11,10,0.9090909090909092,77.23,0.0,0.0,,,,,,,,,,1,3,1,0.1357142857142857,0.0,0.0
55b645b1fdf99b1c02906872,barnes-partially-right-claim-johnson-has-received-,half-true,3.0,other,other,1.0,2.6,4.0,3.0,8.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,DEM,5.0,16,12,0.75,72.16,0.0,0.0,,,,,,,,,,1,2,1,0.6388888888888888,0.6666666666666666,0.4166666666666667
55b645b1fdf99b1c02906872,david-jolly-says-kathleen-peters-wont-take-stand-r,barely-true,2.0,other,other,4.0,2.7,4.0,3.0,8.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,DEM,7.0,10,7,0.7,52.87,0.0,0.0,,,,,,,,,,1,0,1,0.6349206349206349,0.2857142857142857,0.7142857142857143
55b645b1fdf99b1c02906872,john-boehner-says-stimulus-bill-was-rushed-passage,true,5.0,true,other_true,5.0,4.0,4.0,3.0,8.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,REP,7.0,19,10,0.5263157894736842,77.57,0.0,0.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,3.0,149.1,3,1,1,0.7,0.4,0.4
55ca03e1fdf99b2735fc1dde,ron-desantis-exaggerates-outstanding-graduate-stud,barely-true,2.0,other,other,1.0,2.6,3.0,5.0,7.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,REP,4.0,15,9,0.6,81.63,0.0,0.0,,,,,,,,,,1,0,1,0.95,0.5714285714285714,0.4444444444444444
55ca03e1fdf99b2735fc1dde,ohios-mandel-repeats-false-claim-stolen-2020-elect,pants-on-fire,0.0,pants-on-fire,correct_false,0.0,1.1,3.0,5.0,7.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,7.0,DEM,7.0,9,7,0.7777777777777778,96.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,102.11,1,0,1,0.9375,0.4285714285714285,0.5714285714285714
55ca03e1fdf99b2735fc1dde,lauren-boebert-wrong-founding-fathers-intent-exper,false,1.0,other,other,0.0,2.1,3.0,5.0,7.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,REP,6.0,17,10,0.5882352941176471,54.22,0.1,0.4,,,,,,,,,,1,3,1,0.3653846153846154,0.25,0.4
55ca03e1fdf99b2735fc1dde,hard-pin-down-growing-cost-unused-border-materials,half-true,3.0,other,other,3.0,3.6,3.0,5.0,7.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,DEM,5.0,17,13,0.7647058823529411,62.68,-0.1,0.1,,,,,,,,,,1,8,1,0.4248366013071896,0.375,0.3076923076923077
55ca03e1fdf99b2735fc1dde,yes-tax-break-ron-johnson-pushed-2017-has-benefite,true,5.0,true,correct_true,5.0,4.3,3.0,5.0,7.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,DEM,4.0,14,11,0.7857142857142857,31.89,0.125,0.7,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,231.11,1,0,1,1.0,0.7,0.0
55ca03e1fdf99b2735fc1dde,joni-ernst-target-describing-11th-hour-obama-rule-,mostly-true,4.0,other,other,4.0,3.4,3.0,5.0,7.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,DEM,3.0,16,12,0.75,12.94,0.0,0.0,,,,,,,,,,1,0,1,0.7961538461538462,0.2,0.6666666666666666
5658000ca9872d0011e1ba26,suozzi-calling-hochul-interim-governor-s-misleadin,pants-on-fire,0.0,pants-on-fire,wrong_false,4.0,3.2,2.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,6.0,DEM,1.0,5,3,0.6,49.48,0.0,0.0,0.0,4.0,2.0,2.0,0.0,3.0,2.0,4.0,158.52,1,4,1,0.8,0.0,0.3333333333333333
5658000ca9872d0011e1ba26,fact-checking-claim-about-number-immigrants-becomi,half-true,3.0,other,other,3.0,3.4,2.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,7.0,DEM,7.0,30,13,0.4333333333333333,74.87,0.3333333333333333,0.3555555555555555,,,,,,,,,,1,0,1,0.9333333333333332,0.0,0.4615384615384615
